elapsed,dxl_pos[0],dxl_pos[1],dxl_pos[2],dxl_pos[3],dxl_pos[4]
0.0,1254.0,1167.0,2919.0,2009.0,2049.0
15.0,1219.0,1197.0,2919.0,2009.0,2049.0
29.0,1192.0,1224.0,2919.0,2009.0,2049.0
44.0,1180.0,1252.0,2919.0,2009.0,2049.0
59.0,1187.0,1268.0,2919.0,2009.0,2049.0
73.0,1204.0,1269.0,2919.0,2010.0,2049.0
88.0,1228.0,1273.0,2919.0,2010.0,2049.0
103.0,1256.0,1278.0,2919.0,2010.0,2049.0
117.0,1284.0,1287.0,2920.0,2010.0,2049.0
132.0,1321.0,1299.0,2920.0,2010.0,2049.0
147.0,1369.0,1315.0,2920.0,2010.0,2049.0
161.0,1419.0,1332.0,2920.0,2010.0,2049.0
176.0,1477.0,1358.0,2920.0,2010.0,2049.0
191.0,1539.0,1391.0,2920.0,2010.0,2049.0
205.0,1599.0,1423.0,2920.0,2010.0,2049.0
220.0,1668.0,1463.0,2920.0,2010.0,2049.0
235.0,1740.0,1508.0,2920.0,2009.0,2049.0
249.0,1808.0,1555.0,2920.0,2009.0,2049.0
264.0,1879.0,1606.0,2920.0,2009.0,2049.0
279.0,1947.0,1659.0,2920.0,2009.0,2049.0
293.0,2009.0,1706.0,2920.0,2009.0,2049.0
308.0,2074.0,1753.0,2920.0,2009.0,2049.0
323.0,2139.0,1796.0,2920.0,2009.0,2049.0
337.0,2201.0,1831.0,2920.0,2009.0,2049.0
352.0,2267.0,1861.0,2920.0,2009.0,2049.0
367.0,2330.0,1881.0,2920.0,2009.0,2049.0
381.0,2385.0,1888.0,2920.0,2009.0,2049.0
396.0,2446.0,1888.0,2920.0,2009.0,2049.0
411.0,2511.0,1881.0,2920.0,2009.0,2049.0
425.0,2572.0,1865.0,2920.0,2009.0,2049.0
440.0,2638.0,1841.0,2920.0,2010.0,2049.0
455.0,2705.0,1813.0,2920.0,2009.0,2049.0
469.0,2755.0,1786.0,2920.0,2010.0,2049.0
484.0,2759.0,1764.0,2920.0,2010.0,2049.0
499.0,2722.0,1731.0,2920.0,2010.0,2049.0
513.0,2691.0,1682.0,2920.0,2010.0,2049.0
528.0,2663.0,1629.0,2920.0,2010.0,2049.0
543.0,2637.0,1579.0,2920.0,2010.0,2049.0
557.0,2606.0,1530.0,2920.0,2010.0,2049.0
572.0,2563.0,1473.0,2920.0,2010.0,2049.0
587.0,2512.0,1417.0,2920.0,2010.0,2049.0
601.0,2458.0,1371.0,2920.0,2010.0,2049.0
616.0,2397.0,1327.0,2920.0,2010.0,2049.0
631.0,2332.0,1289.0,2920.0,2010.0,2049.0
645.0,2270.0,1258.0,2920.0,2010.0,2049.0
660.0,2205.0,1232.0,2920.0,2010.0,2049.0
675.0,2143.0,1211.0,2920.0,2010.0,2049.0
689.0,2080.0,1196.0,2920.0,2010.0,2049.0
704.0,2004.0,1184.0,2920.0,2010.0,2049.0
719.0,1921.0,1177.0,2920.0,2010.0,2049.0
733.0,1847.0,1174.0,2920.0,2010.0,2049.0
748.0,1771.0,1174.0,2920.0,2010.0,2049.0
763.0,1697.0,1172.0,2920.0,2010.0,2049.0
777.0,1632.0,1170.0,2920.0,2010.0,2049.0
792.0,1564.0,1164.0,2920.0,2009.0,2049.0
807.0,1500.0,1154.0,2920.0,2009.0,2049.0
821.0,1447.0,1148.0,2920.0,2009.0,2049.0
836.0,1396.0,1143.0,2920.0,2009.0,2049.0
851.0,1350.0,1143.0,2919.0,2009.0,2049.0
865.0,1313.0,1144.0,2919.0,2009.0,2049.0
880.0,1282.0,1149.0,2919.0,2009.0,2049.0
